,epoch,mse_train,mse_test
0,0,0.2405771524992592,0.23356175894492145
1,1,0.2396616216682444,0.20696175146463067
2,2,0.2119430655134026,0.1882130294052794
3,3,0.19323694406720437,0.17417645512471278
4,4,0.1794724060067173,0.16316669321801494
5,5,0.16872157578044877,0.15410282548256374
6,6,0.15984842182980968,0.146420991962436
7,7,0.15226174482569077,0.13976293896085396
8,8,0.145618623549071,0.13385303218452088
9,9,0.1396582026659962,0.12860583681481158
10,10,0.1342839934995387,0.12387302282000993
11,11,0.129354180397781,0.11959576870865916
12,12,0.12482241697443597,0.11563331026886103
13,13,0.1205920494589459,0.11199441619577327
14,14,0.11662961475846448,0.10861178171034416
15,15,0.11290464608091447,0.10543857847566372
16,16,0.10937854876993065,0.10246803227334043
17,17,0.10603048255911411,0.09963776963448501
18,18,0.10286395181183242,0.09695947021724037
19,19,0.09984192476807062,0.09438763233245788
20,20,0.09694215477072797,0.09196194073429695
21,21,0.09418348221230158,0.0896579762828082
22,22,0.09153500532350027,0.08744291078527829
23,23,0.08899986340654902,0.08533253643729238
24,24,0.08656716556593855,0.08331632748139614
25,25,0.08423024878867677,0.08139330349816572
26,26,0.0819855172653782,0.07956463836417203
27,27,0.07982076952716263,0.07778146213093352
28,28,0.07774971568842749,0.0760709480004277
29,29,0.07575471689590865,0.07440130198522282
30,30,0.07383447141492774,0.07281192942696497
31,31,0.07198747522271035,0.07125192093102206
32,32,0.07021680377513553,0.069734703234782
33,33,0.06851239761142305,0.06824864015062541
34,34,0.06687503517513574,0.0668094951166274
35,35,0.06528948471121646,0.0654287629447158
36,36,0.06377946254939874,0.06408278982326374
37,37,0.0623228969587842,0.06277765248969322
38,38,0.06092079219492609,0.061496671610972845
39,39,0.05957209658291322,0.06026437600714268
40,40,0.05826703699955678,0.059071952063487254
41,41,0.057018494640358776,0.0578773362910008
42,42,0.055804062495747445,0.05673640456543655
43,43,0.05463394534251751,0.055642970439533194
44,44,0.05350391324168624,0.0545651267950317
45,45,0.05241073695788233,0.053511384685375724
46,46,0.05135742843723211,0.05249821033945682
47,47,0.05033576594440947,0.05151361565756769
48,48,0.04934237002006807,0.05054795669249317
49,49,0.048382705609077634,0.0496157463609105
50,50,0.04745044989050955,0.04871055893680888
51,51,0.04654498390597908,0.047824079569539
52,52,0.04566971784670744,0.04696408150422495
53,53,0.044813275249336676,0.04613274348985945
54,54,0.043984615336136644,0.045311586426551295
55,55,0.04317371272328127,0.044529086215968135
56,56,0.04239113849000507,0.04375176220918286
57,57,0.0416257619114979,0.0429980293134097
58,58,0.04087838258073806,0.04226266633266819
59,59,0.04015122446578524,0.04154227837171831
60,60,0.03944367820594386,0.0408349108731325
