,epoch,mse_train,mse_test
0,0,0.06096639159070013,0.06179295209779376
1,1,0.05742593248525505,0.05827596581847992
2,2,0.05405336000654676,0.0549090625624429
3,3,0.0508589207105221,0.05170224527482813
4,4,0.04785091057674061,0.04866173503679134
5,5,0.04503342243322323,0.04579146725226822
6,6,0.04240641184877539,0.043096186808907026
7,7,0.039969676629678076,0.040578460215679
8,8,0.03771971848466729,0.0382384081425904
9,9,0.035651481999472316,0.03607399286890011
10,10,0.033757293395662434,0.0340818872368768
11,11,0.032029280021980466,0.032255398455423016
12,12,0.03045853412727404,0.030590138149072275
13,13,0.029035695643755806,0.02907562628590339
14,14,0.02775057964332443,0.027704686823317927
15,15,0.026593537043355247,0.02646695749890063
16,16,0.025554253798364672,0.025353221786303812
17,17,0.024623034221997256,0.024353019016216528
18,18,0.02378970988572223,0.023456532612669057
19,19,0.023045573086714875,0.022654647991851025
20,20,0.022381760737521444,0.021938154574472877
21,21,0.021790292278312747,0.021298729516931944
22,22,0.02126338189103194,0.020728130348910318
23,23,0.020794038291504408,0.020218901749517373
24,24,0.02037575945959963,0.01976433617839837
25,25,0.020002867832004046,0.019358447147322485
26,26,0.01967007470545319,0.01899544637783281
27,27,0.01937260536043519,0.018670744741475672
28,28,0.01910640070551118,0.018379404185307025
29,29,0.018867572856990568,0.018117711116262404
30,30,0.01865276643796016,0.01788215240284174
31,31,0.018459185608125435,0.01766950719539439
32,32,0.018284150722437935,0.01747699129058289
33,33,0.018125356622908397,0.017302201219777668
34,34,0.017980808570629427,0.017143008990407015
35,35,0.017848705358495275,0.016997319860419843
36,36,0.01772747200304168,0.016863829124317865
37,37,0.017615977521319985,0.016740971479820465
38,38,0.01751288170565966,0.016627386163598285
39,39,0.017417095126262293,0.016521963500789952
40,40,0.01732789026426247,0.01642392517542755
41,41,0.017244432262459287,0.016332245606123483
42,42,0.01716604137051883,0.0162463535929492
43,43,0.01709217001672014,0.016165551647510067
44,44,0.01702232284111738,0.0160893649254223
45,45,0.016956047124243517,0.016017192968351787
46,46,0.016892977384639345,0.015948673848535985
47,47,0.016832712416283473,0.01588339790766754
48,48,0.016774990822340713,0.01582107585218862
49,49,0.01671964710744225,0.015761421445440633
50,50,0.016666367578845237,0.015704199654574723
51,51,0.01661498405570355,0.015649142405685972
52,52,0.016565308552586862,0.01559610018475145
53,53,0.016517254857960025,0.015544959630665364
54,54,0.016470644489918314,0.015495475078726834
55,55,0.01642545134503174,0.015447589102059326
56,56,0.016381400270171775,0.015401156612493057
57,57,0.016338559684541325,0.015356062248799455
58,58,0.01629680132820725,0.015312237958246915
59,59,0.016256052997069788,0.015269594842346936
60,60,0.01621628660140157,0.015228055675221753
61,61,0.016177386228191395,0.015187553578039956
62,62,0.016139331964575288,0.015148040573551576
63,63,0.016102099158161746,0.01510946253088958
64,64,0.016065678478895673,0.015071768712713424
65,65,0.01602991342586945,0.015034905006124913
66,66,0.01599487408908639,0.014998826627345063
67,67,0.01596051386310943,0.014963494982647282
68,68,0.015926743007168093,0.014928907842716001
69,69,0.015893597964465656,0.014895009204066412
70,70,0.015861092091199982,0.014861798371467831
71,71,0.01582910551509157,0.014829218161880446
72,72,0.01579769401938421,0.01479724147365959
73,73,0.015766799497006725,0.014765872859943687
74,74,0.01573639374806953,0.014735088586022065
75,75,0.015706509919782827,0.014704837586730378
76,76,0.015677111425418864,0.01467512879120406
77,77,0.01564817626365407,0.014645937247395081
78,78,0.015619708839058463,0.014617250603565182
79,79,0.015591664383028725,0.01458903808767478
80,80,0.01556402978884224,0.01456130082424058
81,81,0.01553679772866888,0.014534014007864476
82,82,0.015510002625492375,0.014507171925338493
83,83,0.01548353698076577,0.014480744381693625
84,84,0.015457531171874081,0.01445473870432317
85,85,0.015431833877875658,0.014429132926687386
86,86,0.015406523604956734,0.014403916296287693
87,87,0.015381569977601673,0.014379086138184668
88,88,0.015356942902647244,0.014354613001031585
89,89,0.01533262050426144,0.014330513315673844
90,90,0.015308655389474768,0.014306768977903948
91,91,0.015285030820111225,0.014283362694692112
92,92,0.015261688336876808,0.014260283155471756
93,93,0.015238600649281439,0.014237538064288135
94,94,0.01521585451111038,0.014215099035898161
95,95,0.015193381465621852,0.014192970528593734
96,96,0.015171207779751459,0.014171150139890773
97,97,0.015149273444804193,0.014149620041540103
98,98,0.015127625926899018,0.01412837625276059
99,99,0.015106269541629353,0.01410741057492347
100,100,0.015085104697630306,0.014086716727973122
101,101,0.015064228201831582,0.014066281613854212
102,102,0.015043605923194082,0.014046110311757764
103,103,0.015023203757614281,0.014026197540403393
104,104,0.01500303417629369,0.014006530729014439
105,105,0.014983062505324005,0.013987108332253537
106,106,0.014963336323817125,0.01396792296870769
107,107,0.014943807509926165,0.013948968545228554
108,108,0.014924522502904053,0.013930232625555709
109,109,0.014905463519453654,0.013911723606323057
110,110,0.014886541417813573,0.013893426558229031
111,111,0.014867902912989376,0.013875348353843516
112,112,0.014849359075202337,0.013857473953769368
113,113,0.014831080097490113,0.013839801054398717
114,114,0.014812937961916236,0.013822326580305471
115,115,0.014795003138927402,0.013805048176156987
116,116,0.01477724460397668,0.013787956325274766
117,117,0.014759665358224644,0.013771044789464516
118,118,0.01474225051341629,0.01375432085562754
119,119,0.014725005974202312,0.013737770071949785
120,120,0.014707934991115062,0.013721395917738828
121,121,0.014690999823607009,0.013705195021354711
122,122,0.014674246710634825,0.0136891585543252
123,123,0.014657624938942399,0.013673286825519722
124,124,0.01464119715375702,0.013657580463411168
125,125,0.014624867144121648,0.013642024427143401
